KB,Read Time (ns),Read Time / Number (ns)
1187,583143,491
1188,493280,415
1189,493586,415
1190,495996,416
1191,512846,430
1192,520842,436
1193,534150,447
1194,574926,481
1195,496051,415
1196,543113,454
1197,528708,441
1198,510440,426
1199,528211,440
1200,545888,454
1201,510799,425
1202,509434,423
1203,520577,432
1204,518126,430
1205,509979,423
1206,548327,454
1207,522649,433
1208,530199,438
1209,506634,419
1210,569437,470
1211,540594,446
1212,498317,411
1213,504398,415
1214,529262,435
1215,523875,431
1216,521404,428
1217,554915,455
1218,509680,418
1219,515438,422
1220,533495,437
1221,533867,437
1222,542385,443
1223,527183,431
1224,550469,449
1225,510945,417
1226,539888,440
1227,550539,448
1228,549377,447
1229,565227,459
1230,521309,423
1231,532850,432
1232,560114,454
1233,557051,451
1234,546373,442
1235,510747,413
1236,532936,431
1237,523113,422
1238,565723,456
1239,534042,431
1240,534630,431
1241,556105,448
1242,555771,447
1243,583019,469
1244,503106,404
1245,552903,444
1246,562545,451
1247,540865,433
1248,535092,428
1249,566840,453
1250,547499,437
1251,543988,434
1252,528449,422
1253,554313,442
1254,533474,425
1255,541652,431
1256,533226,424
1257,532820,423
1258,569312,452
1259,586833,466
1260,557468,442
1261,528023,418
1262,545178,431
1263,520794,412
1264,525508,415
1265,532341,420
1266,594447,469
1267,536068,423
1268,545162,429
1269,560569,441
1270,545420,429
1271,549349,432
1272,568573,446
1273,575565,452
1274,613530,481
1275,539238,422
1276,604249,473
1277,548225,429
1278,539949,422
1279,594624,464
1280,572539,447
1281,555182,433
1282,542339,423
1283,539279,420
1284,593163,461
1285,580930,452
1286,565899,440
1287,550410,427
1288,618083,479
1289,570685,442
1290,550737,426
1291,550368,426
1292,541641,419
1293,571926,442
1294,596151,460
1295,552101,426
1296,602476,464
1297,551325,425
1298,617485,475
1299,569496,438
1300,563555,433
1301,598148,459
1302,555733,426
1303,543348,416
1304,574927,440
1305,595195,456
1306,573891,439
1307,551582,422
1308,599950,458
1309,596982,456
1310,571322,436
1311,557730,425
1312,584143,445
1313,590895,450
1314,623249,474
1315,563224,428
1316,559964,425
1317,584939,444
1318,552058,418
1319,600433,455
1320,566832,429
1321,550747,416
1322,626576,473
1323,550278,415
1324,555807,419
1325,580901,438
1326,593861,447
1327,593183,447
1328,567352,427
1329,572133,430
1330,577191,433
1331,600082,450
1332,558425,419
1333,592026,444
1334,1009640,756
1335,623889,467
1336,595839,445
1337,602541,450
1338,628300,469
1339,596203,445
1340,567091,423
1341,549706,409
1342,568112,423
1343,674281,502
1344,564136,419
1345,559024,415
1346,557830,414
1347,584952,434
1348,592921,439
1349,626702,464
1350,607473,449
1351,572381,423
1352,583113,431
1353,588848,435
1354,560030,413
1355,618786,456
1356,589540,434
1357,640092,471
1358,573281,422
1359,574145,422
1360,601966,442
1361,603780,443
1362,566781,416
1363,633635,464
1364,580358,425
1365,567202,415
1366,586510,429
1367,589187,431
1368,574579,420
1369,583665,426
1370,567803,414
1371,559346,407
1372,598923,436
1373,595477,433
1374,607748,442
1375,618390,449
1376,578107,420
1377,558905,405
1378,583571,423
1379,583443,423
1380,596836,432
1381,628672,455
1382,730593,528
1383,567865,410
1384,727747,525
1385,581513,419
1386,591762,426
1387,624057,449
1388,621968,448
1389,649875,467
1390,584225,420
1391,616311,443
1392,608752,437
1393,622796,447
1394,586093,420
1395,600062,430
