B,Read Time (ns),Read Time / Number (ns)
1532,8776,5
1533,8772,5
1534,8582,5
1535,8714,5
1536,8720,5
1537,10650,6
1538,10834,7
1539,10995,7
1540,10513,6
1541,10627,6
1542,11075,7
1543,10773,6
1544,10633,6
1545,10490,6
1546,14048,9
1547,10569,6
1548,10670,6
1549,10603,6
1550,10691,6
1551,11162,7
1552,11018,7
1553,10583,6
1554,10809,6
1555,10996,7
1556,11111,7
1557,10809,6
1558,10602,6
1559,10688,6
1560,10546,6
1561,12009,7
1562,10382,6
1563,10457,6
1564,10761,6
1565,10602,6
1566,15118,9
1567,10577,6
1568,10494,6
1569,10504,6
1570,10530,6
1571,10587,6
1572,10574,6
1573,10600,6
1574,10569,6
1575,10483,6
1576,10653,6
1577,19512,12
1578,10643,6
1579,10484,6
1580,10613,6
1581,10732,6
1582,10714,6
1583,10801,6
1584,10792,6
1585,10587,6
1586,10725,6
1587,10671,6
1588,10679,6
1589,10788,6
1590,10672,6
1591,10968,6
1592,11333,7
1593,11225,7
1594,10784,6
1595,26346,16
1596,10627,6
1597,10672,6
1598,10965,6
1599,10473,6
1600,10452,6
1601,10760,6
1602,10500,6
1603,10702,6
1604,10708,6
1605,10870,6
1606,11307,7
1607,11073,6
1608,10969,6
1609,10746,6
1610,10476,6
1611,10482,6
1612,10874,6
1613,10666,6
1614,10615,6
1615,10596,6
1616,10530,6
1617,10588,6
1618,11302,6
1619,10358,6
1620,11002,6
1621,10609,6
1622,10782,6
1623,10459,6
1624,10515,6
1625,10738,6
1626,10425,6
1627,11415,7
1628,10676,6
1629,8717,5
1630,10582,6
1631,10728,6
1632,10690,6
1633,10740,6
1634,10681,6
1635,10755,6
1636,10675,6
1637,10527,6
1638,10607,6
1639,10459,6
1640,10608,6
1641,10687,6
1642,10669,6
1643,10488,6
1644,10640,6
1645,10490,6
1646,10587,6
1647,10497,6
1648,15966,9
1649,10697,6
1650,10476,6
1651,10691,6
1652,10733,6
1653,8760,5
1654,10456,6
1655,10570,6
1656,15728,9
1657,10487,6
1658,10541,6
1659,11264,6
1660,10698,6
1661,10635,6
1662,10625,6
1663,11189,6
1664,11361,6
1665,10613,6
1666,10659,6
1667,10652,6
1668,10543,6
1669,10494,6
1670,10905,6
1671,10536,6
1672,11329,6
1673,11280,6
1674,11036,6
1675,10884,6
1676,10527,6
1677,10554,6
1678,10411,6
1679,10749,6
1680,10562,6
1681,10636,6
1682,10766,6
1683,10664,6
1684,11013,6
1685,10589,6
1686,10980,6
1687,10506,6
1688,11364,6
1689,10639,6
1690,10572,6
1691,10690,6
1692,10708,6
1693,10850,6
1694,10675,6
1695,10656,6
1696,10639,6
1697,8741,5
1698,10413,6
1699,10558,6
1700,10895,6
1701,19521,11
1702,10513,6
1703,10619,6
1704,10501,6
1705,10733,6
1706,10627,6
1707,10998,6
1708,10639,6
1709,10361,6
1710,10609,6
1711,10620,6
1712,10665,6
1713,10463,6
1714,10643,6
1715,11191,6
1716,10515,6
1717,10680,6
1718,10585,6
1719,10578,6
1720,10537,6
1721,10678,6
1722,10694,6
1723,10393,6
1724,10553,6
1725,20245,11
1726,10501,6
1727,13667,7
1728,10621,6
1729,10474,6
1730,10728,6
1731,10938,6
1732,10536,6
1733,10879,6
1734,10622,6
1735,10617,6
1736,11028,6
1737,11076,6
1738,11372,6
1739,11026,6
1740,10481,6
1741,10426,5
1742,10687,6
1743,10725,6
1744,10684,6
1745,10547,6
1746,10601,6
1747,10745,6
1748,10642,6
1749,10702,6
1750,10846,6
1751,10524,6
1752,10513,6
1753,10533,6
1754,10478,5
1755,10721,6
1756,10522,5
1757,11049,6
1758,10663,6
1759,10801,6
1760,10761,6
1761,17725,10
1762,10694,6
1763,10979,6
1764,10591,6
1765,10567,5
1766,10610,6
1767,20364,11
1768,10605,5
1769,10612,5
1770,10825,6
1771,10561,5
1772,10648,6
1773,10470,5
1774,10599,5
1775,10417,5
1776,10518,5
1777,10626,5
1778,11293,6
1779,11409,6
1780,11014,6
1781,10476,5
1782,10625,5
1783,10495,5
1784,10669,5
1785,10479,5
1786,10574,5
1787,10558,5
1788,14977,8
1789,10727,5
1790,10491,5
1791,10525,5
1792,10621,5
1793,10631,5
1794,10604,5
1795,10750,5
1796,10675,5
1797,10400,5
1798,10685,5
1799,10390,5
1800,10879,6
1801,10641,5
1802,10949,6
1803,10560,5
1804,10483,5
1805,10918,6
1806,10591,5
1807,10625,5
1808,10600,5
1809,10589,5
1810,10541,5
1811,10587,5
1812,10578,5
1813,10407,5
1814,10494,5
1815,10402,5
1816,19243,10
1817,10677,5
1818,10618,5
1819,10763,5
1820,10438,5
1821,10556,5
1822,10672,5
1823,10790,5
1824,10560,5
1825,10517,5
1826,10601,5
1827,10644,5
1828,10562,5
1829,10443,5
1830,10523,5
1831,10596,5
1832,10948,5
1833,10513,5
1834,10487,5
1835,10619,5
1836,10620,5
1837,13693,7
1838,20110,10
1839,10684,5
1840,11147,6
1841,10631,5
1842,10503,5
1843,10735,5
1844,10833,5
1845,10608,5
1846,10689,5
1847,10447,5
1848,14230,7
1849,10946,5
1850,10457,5
1851,10557,5
1852,10497,5
1853,10534,5
1854,10815,5
1855,10571,5
1856,10755,5
1857,10698,5
1858,11069,5
1859,11288,6
1860,10576,5
1861,10562,5
1862,10553,5
