KB,Read Time (ns),Read Time / Number (ns)
1426,607651,426
1427,614693,430
1428,923994,647
1429,698777,488
1430,649224,454
1431,588835,411
1432,629246,439
1433,615308,429
1434,646185,450
1435,621084,432
1436,607596,423
1437,631075,439
1438,617577,429
1439,605090,420
1440,638746,443
1441,668795,464
1442,681000,472
1443,658498,456
1444,628927,435
1445,616303,426
1446,641185,443
1447,683004,472
1448,620254,428
1449,651487,449
1450,620288,427
1451,659393,454
1452,710862,489
1453,656395,451
1454,636420,437
1455,614575,422
1456,664924,456
1457,624178,428
1458,626367,429
1459,631598,432
1460,631313,432
1461,623830,426
1462,622049,425
1463,609318,416
1464,695971,475
1465,666944,455
1466,632365,431
1467,680839,464
1468,680196,463
1469,674706,459
1470,675426,459
1471,615243,418
1472,634566,431
1473,645298,438
1474,942164,639
1475,661940,448
1476,631052,427
1477,684603,463
1478,712695,482
1479,639484,432
1480,626531,423
1481,628223,424
1482,654298,441
1483,674545,454
1484,678808,457
1485,645864,434
1486,609144,409
1487,643003,432
1488,646976,434
1489,655271,440
1490,646099,433
1491,628791,421
1492,724529,485
1493,683873,458
1494,666190,445
1495,687570,459
1496,637854,426
1497,645120,430
1498,624942,417
1499,729394,486
1500,685406,456
1501,670923,446
1502,636311,423
1503,760831,506
1504,643879,428
1505,686509,456
1506,670494,445
1507,638451,423
1508,637704,422
1509,685275,454
1510,688093,455
1511,638198,422
1512,669175,442
1513,659093,435
1514,629216,415
1515,743365,490
1516,677192,446
1517,696238,458
1518,661059,435
1519,702925,462
1520,661881,435
1521,698051,458
1522,651468,428
1523,690375,453
1524,657796,431
1525,632557,414
1526,660711,432
1527,650036,425
1528,661634,433
1529,745489,487
1530,674969,441
1531,667651,436
1532,664100,433
1533,690245,450
1534,658681,429
1535,661400,430
1536,715317,465
1537,664675,432
1538,648729,421
1539,702500,456
1540,658885,427
1541,708689,459
1542,682204,442
1543,679710,440
1544,683802,442
1545,640272,414
1546,659125,426
1547,665912,430
1548,676752,437
1549,642705,414
1550,645082,416
1551,678966,437
1552,713242,459
1553,687586,442
1554,694232,446
1555,666610,428
1556,646791,415
1557,724341,465
1558,646504,414
1559,688139,441
1560,647463,415
1561,708794,454
1562,672275,430
1563,671413,429
1564,657105,420
1565,694367,443
1566,695413,444
1567,681431,434
1568,704852,449
1569,645949,411
1570,694609,442
1571,678006,431
1572,689126,438
1573,646475,410
1574,658586,418
1575,722701,458
1576,668886,424
1577,694210,440
1578,647353,410
1579,765907,485
1580,727835,460
1581,740566,468
1582,668417,422
1583,699595,441
1584,674335,425
1585,673850,425
1586,692314,436
1587,740306,466
1588,704060,443
1589,727817,458
1590,798833,502
1591,684043,429
1592,734511,461
1593,671461,421
1594,690825,433
1595,676537,424
1596,684490,428
1597,717882,449
1598,713014,446
1599,680609,425
1600,676183,422
1601,702817,438
1602,676508,422
1603,712420,444
1604,697963,435
1605,708821,441
1606,671182,417
1607,709409,441
1608,714670,444
1609,692656,430
1610,682032,423
1611,919663,570
1612,713059,442
1613,784596,486
1614,757685,469
1615,692612,428
1616,712807,441
1617,736266,455
1618,674184,416
1619,687171,424
1620,716542,442
1621,689728,425
1622,741891,457
1623,684571,421
1624,765914,471
1625,728960,448
1626,685870,421
1627,674646,414
1628,752611,462
1629,704235,432
1630,752745,461
1631,698440,428
1632,702491,430
1633,728475,446
1634,702710,430
1635,728742,445
1636,710637,434
1637,703020,429
1638,730136,445
1639,703535,429
1640,703527,428
1641,806473,491
1642,701948,427
1643,689763,419
1644,688853,419
1645,739059,449
1646,685789,416
1647,767355,465
1648,714040,433
1649,737787,447
1650,692332,419
1651,771162,467
1652,741217,448
1653,680323,411
1654,703314,425
1655,675521,408
1656,704620,425
1657,733035,442
1658,748889,451
1659,763258,460
1660,722785,435
1661,683110,411
1662,781455,470
1663,698903,420
1664,732006,439
1665,719743,432
1666,746513,448
1667,693463,415
1668,708009,424
1669,695971,416
1670,734993,440
1671,747418,447
1672,743875,444
1673,706391,422
1674,756715,452
1675,705385,421
1676,740946,442
1677,732373,436
1678,711783,424
1679,716591,426
1680,798824,475
1681,791962,471
1682,756413,449
1683,818374,486
1684,791626,470
1685,772294,458
1686,737564,437
1687,706215,418
1688,714026,423
1689,704525,417
1690,701326,414
1691,702639,415
1692,723921,427
1693,780919,461
1694,723424,427
1695,751908,443
1696,735862,433
1697,706996,416
1698,812893,478
1699,803202,472
1700,712948,419
1701,714097,419
1702,735619,432
1703,688112,404
1704,726073,426
1705,739394,433
1706,787931,461
1707,766709,449
1708,771021,451
1709,730113,427
1710,709049,414
1711,740853,432
1712,731436,427
1713,728808,425
1714,726582,423
1715,726180,423
1716,721207,420
1717,754128,439
1718,741988,431
1719,730346,424
1720,728329,423
1721,788930,458
1722,845077,490
1723,782377,454
1724,719946,417
1725,707303,410
1726,734583,425
1727,812773,470
1728,749748,433
1729,852650,493
1730,727281,420
1731,777907,449
1732,752790,434
1733,748283,431
1734,722835,416
1735,729118,420
1736,716195,412
1737,743728,428
1738,709585,408
1739,781265,449
1740,758977,436
1741,753197,432
1742,791459,454
1743,740472,424
1744,816883,468
1745,779957,446
1746,748361,428
1747,766025,438
1748,723681,414
1749,771893,441
1750,747861,427
1751,769337,439
1752,769964,439
1753,733663,418
1754,779427,444
1755,795463,453
1756,775806,441
1757,735139,418
1758,748138,425
1759,809673,460
1760,842258,478
1761,738004,419
1762,765687,434
1763,825410,468
1764,820393,465
1765,855774,484
1766,770334,436
1767,759306,429
1768,867632,490
1769,767612,433
1770,759596,429
1771,809669,457
1772,776728,438
1773,784592,442
1774,800798,451
1775,947232,533
1776,824011,463
1777,854929,481
1778,771387,433
1779,748432,420
1780,753228,423
1781,808653,454
1782,742058,416
1783,788944,442
1784,789207,442
1785,768965,430
1786,760168,425
1787,764785,427
1788,744888,416
1789,740692,414
1790,820802,458
1791,773083,431
1792,808307,451
1793,807547,450
1794,812358,452
1795,764786,426
1796,776182,432
1797,777974,432
1798,798364,444
1799,768847,427
1800,822094,456
1801,785433,436
1802,783490,434
1803,770308,427
1804,747573,414
1805,829792,459
1806,796933,441
1807,814572,450
1808,789463,436
1809,865615,478
1810,815639,450
1811,809870,447
1812,767416,423
1813,748364,412
1814,766232,422
1815,752415,414
1816,755213,415
1817,817511,449
1818,774704,426
1819,842326,463
1820,819033,450
1821,827307,454
1822,839657,460
1823,807418,442
1824,841078,461
1825,778464,426
1826,791551,433
1827,771544,422
1828,827392,452
1829,872822,477
1830,801988,438
1831,782619,427
1832,776919,424
1833,776773,423
1834,863562,470
