MB,Read Time (ns),Read Time / Number (ns)
1007,2419709,2402
1008,2505329,2485
1009,2442363,2420
1010,2512592,2487
1011,2497392,2470
1012,2517030,2487
1013,2667132,2632
1014,2537240,2502
1015,2456248,2419
1016,2512379,2472
1017,2490967,2449
1018,2515599,2471
1019,2509331,2462
1020,2564458,2514
1021,2453461,2402
1022,2481881,2428
1023,2474178,2418
1024,2581297,2520
1025,2584389,2521
1026,2634986,2568
1027,2506825,2440
1028,2556563,2486
1029,2476636,2406
1030,2507668,2434
1031,2539899,2463
1032,2618443,2537
1033,2565127,2483
1034,2550277,2466
1035,2606875,2518
1036,2529335,2441
1037,2491493,2402
1038,2535273,2442
1039,2551479,2455
1040,2556558,2458
1041,2532967,2433
1042,2573797,2470
1043,2564955,2459
1044,2671696,2559
1045,2516311,2407
1046,2687287,2569
1047,2515258,2402
1048,2578089,2460
1049,2505419,2388
1050,2650220,2524
1051,2552458,2428
1052,2614118,2484
1053,2557900,2429
1054,2580860,2448
1055,2547143,2414
1056,2609971,2471
1057,2605363,2464
1058,2557549,2417
1059,2769671,2615
1060,2641953,2492
1061,2668853,2515
1062,2627789,2474
1063,2571523,2419
1064,2616231,2458
1065,2599607,2440
1066,2632732,2469
1067,2586548,2424
1068,2857488,2675
1069,2610645,2442
1070,2631073,2458
1071,2586020,2414
1072,2686556,2506
1073,2563386,2388
1074,2717143,2529
1075,2645493,2460
1076,2611164,2426
1077,2590237,2405
1078,2747622,2548
1079,2591292,2401
1080,2634556,2439
1081,2600809,2405
1082,2676700,2473
1083,2583582,2385
1084,2685633,2477
1085,2640177,2433
1086,2674375,2462
1087,2620959,2411
1088,2614077,2402
1089,2760003,2534
1090,2622822,2406
1091,2691715,2467
1092,2728171,2498
1093,2662622,2436
1094,2645690,2418
1095,2872357,2623
1096,2711494,2473
1097,2768414,2523
1098,2763689,2517
1099,2650250,2411
1100,2689674,2445
1101,2653489,2410
1102,2756126,2501
1103,2671512,2422
1104,2781315,2519
1105,2662117,2409
1106,2708080,2448
1107,2659048,2402
1108,2736373,2469
1109,2689006,2424
1110,2768439,2494
1111,2625041,2362
1112,2767185,2488
1113,2665817,2395
1114,2844628,2553
1115,2740506,2457
1116,3010282,2697
1117,2673218,2393
1118,2903690,2597
1119,2694372,2407
1120,2730589,2438
1121,2713285,2420
1122,2812363,2506
1123,2677020,2383
1124,2752316,2448
1125,2744401,2439
1126,2727642,2422
1127,2708943,2403
1128,2743352,2432
1129,2777717,2460
1130,2822600,2497
1131,2751950,2433
1132,3051033,2695
1133,2756787,2433
1134,2786283,2457
1135,2767124,2437
1136,2939429,2587
1137,2782353,2447
1138,2821445,2479
1139,2758599,2421
1140,2817272,2471
1141,2869711,2515
1142,2849072,2494
1143,2803669,2452
1144,2828979,2472
1145,2925001,2554
1146,2878439,2511
1147,2889564,2519
1148,2879017,2507
1149,2769649,2410
1150,2757079,2397
1151,2759820,2397
1152,2849374,2473
1153,2798871,2427
1154,2899310,2512
1155,2775398,2402
1156,2787851,2411
1157,2834366,2449
1158,3116148,2690
1159,2839020,2449
1160,2851689,2458
1161,2785638,2399
1162,2903468,2498
1163,2792301,2400
1164,2880031,2474
1165,2778895,2385
1166,2803066,2404
1167,2795066,2395
1168,2954865,2529
1169,2840366,2429
1170,2891184,2471
1171,2894845,2472
1172,2929883,2499
1173,2856561,2435
1174,2897489,2468
1175,2859625,2433
1176,2927577,2489
1177,2846621,2418
1178,2943566,2498
1179,2799386,2374
1180,2890074,2449
1181,2804235,2374
1182,2923891,2473
